Artist,Tracks,Hit or Flop
Cardi B,Up,Flop
Polo G,GNF (OKOKOK),Flop
H.E.R.,"Fight For You - From the Original Motion Picture ""Judas and the Black Messiah""",Hit
Jeremy Zucker,emily,Hit
Dan + Shay,Glad You Exist,Hit
Moneybagg Yo,Time Today,Hit
Pooh Shiesty,Neighbors (feat. BIG30),Hit
VanJess,Caught Up (feat. Phony Ppl),Hit
G-Eazy,Provide (feat. Chris Brown & Mark Morrison),Hit
Sech,911,Hit
Black Coffee,Lost (with DJ Angelo feat. Jinadu),Hit
Ritt Momney,Not Around,Flop
Martin Garrix,Pressure (feat. Tove Lo),Flop
Foo Fighters,Making A Fire,Hit
Sam Fischer,What Other People Say,Hit
Cian Ducrot,Not Usually Like This,Hit
Sia,Floating Through Space,Flop
SG Lewis,One More (feat. Nile Rodgers),Hit
Lucky Daye,On Read with Tiana Major9,Hit
Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),Hit
FINNEAS,American Cliché,Hit
Cheat Codes,Hate You + Love You (feat. AJ Mitchell),Hit
Daya,Bad Girl,Hit
Young Rog,Bullshit (with Summer Walker),Hit
Kito,Recap (with VanJess & Channel Tres),Hit
Sky McCreery,Insane,Flop
Oliver Tree,Out of Ordinary,Hit
Tkay Maidza,Kim (with Yung Baby Tate),Hit
Smokepurpp,We Outside (with Lil Mosey),Hit
Tee Grizzley,Late Night Calls,Hit
Bobby Sessions,I'm A King (with Megan Thee Stallion),Hit
Jonas Blue,Something Stupid (feat. AWA),Hit
Los Legendarios,Fiel,Hit
Victoria Monét,F.U.C.K.,Flop
Tai Verdes,BAD BAD News,Hit
Jimi Somewhere,Confidence (feat. Jon Waltz),Hit
Dreamer Boy,Easier Said Than Done,Hit
Louis The Child,Somewhere Else (with BabyJake),Hit
Shordie Shordie,LOVE (feat. Trippie Redd),Hit
LLusion,STAY IN (feat. LoveLeo),Hit
Hayley Williams,My Limb,Flop
The Weather Station,Parking Lot,Flop
Jordan Suaste,"If The World Ended Tonight - From The Netflix Film ""To All The Boys: Always and Forever""",Hit
Creams,SLEEP ON ME,Hit
Morray,Kingdom,Hit
D Smoke,Dreams,Hit
Yeek,3000 Miles (Baby Baby),Hit
ceo@business.net,mexico,Hit
Sad Night Dynamite,Smoke Hole - Edit,Hit
Zach Hood,Isabelle,Hit
Picture This,Things Are Different,Hit
Carly Pearce,Should’ve Known Better,Hit
Alex Hall,Heart Shut (feat. Tenille Townes),Hit
Ayron Jones,Mercy,Flop
03 Greedo,Substance (We Woke Up),Hit
TG Kommas,I Know,Hit
YBN Almighty Jay,Battling My Spirit,Flop
Unusual Demont,Pine,Hit
Sarah Barrios,Happy,Hit
Priya Ragu,Chicken Lemon Rice,Flop
Rostam,These Kids We Knew,Hit
Damien,i can't stop,Hit
Marlon Craft,Get Off My Yard,Flop
Joeboy,Focus,Hit
SLANDER,"Anywhere (feat. shYbeast, PLYA)",Flop
Felix Cartal,Happy Hour,Hit
Phora,Loaded Gun,Hit
Peter Thomas,Unfinished,Hit
Goody Grace,Grape Swisher,Hit
Rezz,Sacrificial (feat. PVRIS),Hit
KHEA,tu msj </3,Hit
Sofía Valdés,Oceans Away,Hit
Delilah Montagu,This Is Not a Love Song,Hit
MyKey,Sweet Tooth,Hit
Public Library Commute,Moonlight,Hit
Chet Faker,Get High,Flop
Raveena,Tweety,Hit
Tone Stith,FWM,Hit
Apollo LTD,Soldier On,Hit
KyleYouMadeThat,Hoopla (with NLE Choppa),Hit
OMB Peezy,Dope Boy (feat. Rylo Rodriguez),Hit
CNCO,Dejaría Todo,Hit
Allie X,GLAM!,Hit
blackwinterwells,weathered,Hit
CMTEN,ALONE (feat. RILEY THE MUSICIAN),Hit
JAHMED,WIPE,Hit
Voices of Fire,Hit the Refresh,Hit
Keyshia Cole,I Don't Wanna Be In Love,Hit
SYML,STAY CLOSE,Hit
Julien Baker,Favor,Hit
WENS,Internet Stalking (feat. Adam Melchor),Hit
Octo Octa,Goddess Calling,Flop
Propaganda,We Are The Culture,Hit
David Sabastian,Revolutionary,Hit
The Staves,Failure,Hit
Matt Stell,That Ain't Me No More,Hit
Lathan Warlick,Roots,Hit
Teddy Swims,My Bad,Hit
Al-Doms,Slang!,Hit
FN DaDealer,New Money (feat. Lil ManMan),Hit
